_id,Timestamp,Redemption Count,Sales Count
1,2024-09-20T18:45:00,52,1
2,2024-09-20T18:30:00,62,69
3,2024-09-20T18:15:00,103,101
4,2024-09-20T18:00:00,62,56
5,2024-09-20T17:45:00,69,73
6,2024-09-20T17:30:00,150,133
7,2024-09-20T17:15:00,69,96
8,2024-09-20T17:00:00,40,45
9,2024-09-20T16:45:00,75,73
10,2024-09-20T16:30:00,115,84
11,2024-09-20T16:15:00,84,78
12,2024-09-20T16:00:00,130,114
13,2024-09-20T15:45:00,218,251
14,2024-09-20T15:30:00,122,134
15,2024-09-20T15:15:00,89,78
16,2024-09-20T15:00:00,112,199
17,2024-09-20T14:45:00,69,70
18,2024-09-20T14:30:00,120,113
19,2024-09-20T14:15:00,106,103
20,2024-09-20T14:00:00,133,130
21,2024-09-20T13:45:00,119,86
22,2024-09-20T13:30:00,120,88
23,2024-09-20T13:15:00,136,116
24,2024-09-20T13:00:00,94,88
25,2024-09-20T12:45:00,105,102
26,2024-09-20T12:30:00,80,80
27,2024-09-20T12:15:00,81,80
28,2024-09-20T12:00:00,125,119
29,2024-09-20T11:45:00,91,83
30,2024-09-20T11:30:00,85,69
31,2024-09-20T11:15:00,93,108
32,2024-09-20T11:00:00,96,82
33,2024-09-20T10:45:00,42,63
34,2024-09-20T10:30:00,161,94
35,2024-09-20T10:15:00,107,67
36,2024-09-20T10:00:00,53,63
37,2024-09-20T09:45:00,99,50
38,2024-09-20T09:30:00,105,37
39,2024-09-20T09:15:00,24,31
40,2024-09-20T09:00:00,29,37
41,2024-09-20T08:45:00,14,13
42,2024-09-20T08:30:00,26,15
43,2024-09-20T08:15:00,15,10
44,2024-09-20T08:00:00,17,16
45,2024-09-20T07:45:00,5,3
46,2024-09-20T07:30:00,15,8
47,2024-09-20T07:15:00,10,9
48,2024-09-20T07:00:00,3,5
49,2024-09-20T06:45:00,8,4
50,2024-09-20T06:30:00,11,11
51,2024-09-20T06:00:00,0,1
52,2024-09-20T04:45:00,0,22
53,2024-09-20T03:30:00,0,2
54,2024-09-20T02:30:00,0,3
55,2024-09-20T01:45:00,0,2
56,2024-09-20T00:15:00,0,18
57,2024-09-20T00:00:00,0,1
58,2024-09-19T23:45:00,0,5
59,2024-09-19T23:30:00,6,0
60,2024-09-19T23:15:00,2,4
61,2024-09-19T23:00:00,8,12
62,2024-09-19T22:45:00,10,8
63,2024-09-19T22:30:00,2,17
64,2024-09-19T22:15:00,2,11
65,2024-09-19T22:00:00,2,12
66,2024-09-19T21:45:00,7,12
67,2024-09-19T21:30:00,27,43
68,2024-09-19T21:15:00,7,9
69,2024-09-19T21:00:00,4,11
70,2024-09-19T20:45:00,7,8
71,2024-09-19T20:30:00,29,27
72,2024-09-19T20:15:00,19,20
73,2024-09-19T20:00:00,13,16
74,2024-09-19T19:45:00,22,39
75,2024-09-19T19:30:00,36,44
76,2024-09-19T19:15:00,39,35
77,2024-09-19T19:00:00,28,26
78,2024-09-19T18:45:00,42,39
79,2024-09-19T18:30:00,48,41
80,2024-09-19T18:15:00,65,64
81,2024-09-19T18:00:00,67,55
82,2024-09-19T17:45:00,43,39
83,2024-09-19T17:30:00,62,46
84,2024-09-19T17:15:00,58,47
85,2024-09-19T17:00:00,80,90
86,2024-09-19T16:45:00,75,83
87,2024-09-19T16:30:00,80,60
88,2024-09-19T16:15:00,56,61
89,2024-09-19T16:00:00,111,99
90,2024-09-19T15:45:00,63,61
91,2024-09-19T15:30:00,85,72
92,2024-09-19T15:15:00,81,77
93,2024-09-19T15:00:00,86,86
94,2024-09-19T14:45:00,110,83
95,2024-09-19T14:30:00,153,133
96,2024-09-19T14:15:00,107,93
97,2024-09-19T14:00:00,93,86
98,2024-09-19T13:45:00,137,93
99,2024-09-19T13:30:00,156,105
100,2024-09-19T13:15:00,108,91
101,2024-09-19T13:00:00,132,89
102,2024-09-19T12:45:00,156,127
103,2024-09-19T12:30:00,235,241
104,2024-09-19T12:15:00,149,97
105,2024-09-19T12:00:00,120,119
106,2024-09-19T11:45:00,77,84
107,2024-09-19T11:30:00,86,91
108,2024-09-19T11:15:00,110,95
109,2024-09-19T11:00:00,99,111
110,2024-09-19T10:45:00,49,64
111,2024-09-19T10:30:00,61,97
112,2024-09-19T10:15:00,107,73
113,2024-09-19T10:00:00,56,84
114,2024-09-19T09:45:00,26,58
115,2024-09-19T09:30:00,35,50
116,2024-09-19T09:15:00,21,21
117,2024-09-19T09:00:00,7,15
118,2024-09-19T08:45:00,9,34
119,2024-09-19T08:30:00,18,10
120,2024-09-19T08:15:00,26,14
121,2024-09-19T08:00:00,9,7
122,2024-09-19T07:45:00,6,6
123,2024-09-19T07:30:00,12,5
124,2024-09-19T07:15:00,16,13
125,2024-09-19T07:00:00,10,5
126,2024-09-19T06:45:00,4,7
127,2024-09-19T06:30:00,11,4
128,2024-09-19T06:15:00,0,1
129,2024-09-19T05:45:00,0,1
130,2024-09-19T03:00:00,0,4
131,2024-09-19T01:15:00,0,2
132,2024-09-19T00:15:00,0,3
133,2024-09-18T23:45:00,0,5
134,2024-09-18T23:30:00,5,3
135,2024-09-18T23:15:00,0,4
136,2024-09-18T23:00:00,13,13
137,2024-09-18T22:45:00,3,3
138,2024-09-18T22:30:00,12,23
139,2024-09-18T22:15:00,4,1
140,2024-09-18T22:00:00,9,9
141,2024-09-18T21:45:00,6,10
142,2024-09-18T21:30:00,17,18
143,2024-09-18T21:15:00,7,4
144,2024-09-18T21:00:00,4,8
145,2024-09-18T20:45:00,9,10
146,2024-09-18T20:30:00,22,63
147,2024-09-18T20:15:00,11,14
148,2024-09-18T20:00:00,8,4
149,2024-09-18T19:45:00,8,8
150,2024-09-18T19:30:00,52,47
151,2024-09-18T19:15:00,30,30
152,2024-09-18T19:00:00,183,24
153,2024-09-18T18:45:00,47,33
154,2024-09-18T18:30:00,40,191
155,2024-09-18T18:15:00,43,32
156,2024-09-18T18:00:00,59,46
157,2024-09-18T17:45:00,44,45
158,2024-09-18T17:30:00,54,46
159,2024-09-18T17:15:00,53,51
160,2024-09-18T17:00:00,25,33
161,2024-09-18T16:45:00,34,27
162,2024-09-18T16:30:00,123,88
163,2024-09-18T16:15:00,45,40
164,2024-09-18T16:00:00,68,71
165,2024-09-18T15:45:00,189,210
166,2024-09-18T15:30:00,84,90
167,2024-09-18T15:15:00,81,71
168,2024-09-18T15:00:00,67,68
169,2024-09-18T14:45:00,57,51
170,2024-09-18T14:30:00,85,111
171,2024-09-18T14:15:00,83,81
172,2024-09-18T14:00:00,96,89
173,2024-09-18T13:45:00,63,89
174,2024-09-18T13:30:00,127,103
175,2024-09-18T13:15:00,65,68
176,2024-09-18T13:00:00,91,79
177,2024-09-18T12:45:00,103,105
178,2024-09-18T12:30:00,86,79
179,2024-09-18T12:15:00,72,60
180,2024-09-18T12:00:00,80,63
181,2024-09-18T11:45:00,61,61
182,2024-09-18T11:30:00,128,108
183,2024-09-18T11:15:00,68,72
184,2024-09-18T11:00:00,139,179
185,2024-09-18T10:45:00,56,48
186,2024-09-18T10:30:00,65,58
187,2024-09-18T10:15:00,75,76
188,2024-09-18T10:00:00,43,40
189,2024-09-18T09:45:00,22,44
190,2024-09-18T09:30:00,42,48
191,2024-09-18T09:15:00,6,11
192,2024-09-18T09:00:00,33,25
193,2024-09-18T08:45:00,3,7
194,2024-09-18T08:30:00,29,25
195,2024-09-18T08:15:00,20,1
196,2024-09-18T08:00:00,6,9
197,2024-09-18T07:45:00,3,2
198,2024-09-18T07:30:00,17,12
199,2024-09-18T07:15:00,3,4
200,2024-09-18T07:00:00,4,0
201,2024-09-18T06:45:00,3,1
202,2024-09-18T06:30:00,12,5
203,2024-09-18T06:15:00,2,2
204,2024-09-18T02:45:00,0,1
205,2024-09-18T02:15:00,0,3
206,2024-09-18T01:00:00,0,1
207,2024-09-18T00:15:00,0,1
208,2024-09-18T00:00:00,0,10
209,2024-09-17T23:45:00,0,6
210,2024-09-17T23:30:00,2,4
211,2024-09-17T23:15:00,1,2
212,2024-09-17T23:00:00,5,1
213,2024-09-17T22:45:00,4,3
214,2024-09-17T22:30:00,5,21
215,2024-09-17T22:15:00,0,10
216,2024-09-17T22:00:00,6,26
217,2024-09-17T21:30:00,20,11
218,2024-09-17T21:15:00,8,7
219,2024-09-17T21:00:00,8,9
220,2024-09-17T20:45:00,7,7
221,2024-09-17T20:30:00,15,15
222,2024-09-17T20:15:00,18,14
223,2024-09-17T19:45:00,4,9
224,2024-09-17T19:30:00,25,15
225,2024-09-17T19:15:00,37,28
226,2024-09-17T19:00:00,69,66
227,2024-09-17T18:45:00,25,21
228,2024-09-17T18:30:00,48,43
229,2024-09-17T18:15:00,47,32
230,2024-09-17T18:00:00,61,49
231,2024-09-17T17:45:00,27,24
232,2024-09-17T17:30:00,68,44
233,2024-09-17T17:15:00,59,57
234,2024-09-17T17:00:00,47,41
235,2024-09-17T16:45:00,52,41
236,2024-09-17T16:30:00,212,369
237,2024-09-17T16:15:00,34,34
238,2024-09-17T16:00:00,50,48
239,2024-09-17T15:45:00,35,40
240,2024-09-17T15:30:00,94,89
241,2024-09-17T15:15:00,91,98
242,2024-09-17T15:00:00,76,73
243,2024-09-17T14:45:00,62,68
244,2024-09-17T14:30:00,88,89
245,2024-09-17T14:15:00,74,77
246,2024-09-17T14:00:00,77,75
247,2024-09-17T13:45:00,65,75
248,2024-09-17T13:30:00,130,110
249,2024-09-17T13:15:00,82,183
250,2024-09-17T13:00:00,48,53
251,2024-09-17T12:45:00,97,80
252,2024-09-17T12:30:00,85,87
253,2024-09-17T12:15:00,78,74
254,2024-09-17T12:00:00,84,68
255,2024-09-17T11:45:00,63,50
256,2024-09-17T11:30:00,84,74
257,2024-09-17T11:15:00,58,68
258,2024-09-17T11:00:00,141,89
259,2024-09-17T10:45:00,55,61
260,2024-09-17T10:30:00,89,29
261,2024-09-17T10:15:00,128,91
262,2024-09-17T10:00:00,25,28
263,2024-09-17T09:45:00,17,17
264,2024-09-17T09:30:00,24,21
265,2024-09-17T09:15:00,13,4
266,2024-09-17T09:00:00,31,23
267,2024-09-17T08:45:00,13,18
268,2024-09-17T08:30:00,24,25
269,2024-09-17T08:15:00,21,9
270,2024-09-17T08:00:00,9,44
271,2024-09-17T07:45:00,10,18
272,2024-09-17T07:30:00,13,23
273,2024-09-17T07:15:00,6,2
274,2024-09-17T07:00:00,15,19
275,2024-09-17T06:45:00,5,2
276,2024-09-17T06:30:00,17,10
277,2024-09-17T06:15:00,0,1
278,2024-09-17T05:45:00,0,1
279,2024-09-17T00:45:00,0,5
280,2024-09-17T00:15:00,0,1
281,2024-09-17T00:00:00,0,3
282,2024-09-16T23:30:00,3,2
283,2024-09-16T23:15:00,3,22
284,2024-09-16T23:00:00,1,7
285,2024-09-16T22:45:00,3,5
286,2024-09-16T22:30:00,8,13
287,2024-09-16T22:15:00,3,33
288,2024-09-16T22:00:00,9,20
289,2024-09-16T21:45:00,3,7
290,2024-09-16T21:30:00,19,4
291,2024-09-16T21:15:00,11,27
292,2024-09-16T21:00:00,1,9
293,2024-09-16T20:45:00,14,12
294,2024-09-16T20:30:00,20,13
295,2024-09-16T20:15:00,10,5
296,2024-09-16T20:00:00,3,2
297,2024-09-16T19:45:00,23,15
298,2024-09-16T19:30:00,34,30
299,2024-09-16T19:15:00,20,18
300,2024-09-16T19:00:00,53,48
301,2024-09-16T18:45:00,49,56
302,2024-09-16T18:30:00,63,49
303,2024-09-16T18:15:00,96,83
304,2024-09-16T18:00:00,66,54
305,2024-09-16T17:45:00,69,62
306,2024-09-16T17:30:00,90,79
307,2024-09-16T17:15:00,92,92
308,2024-09-16T17:00:00,79,75
309,2024-09-16T16:45:00,88,66
310,2024-09-16T16:30:00,101,108
311,2024-09-16T16:15:00,49,52
312,2024-09-16T16:00:00,96,86
313,2024-09-16T15:45:00,77,140
314,2024-09-16T15:30:00,79,81
315,2024-09-16T15:15:00,80,93
316,2024-09-16T15:00:00,119,120
317,2024-09-16T14:45:00,69,80
318,2024-09-16T14:30:00,146,141
319,2024-09-16T14:15:00,103,119
320,2024-09-16T14:00:00,120,101
321,2024-09-16T13:45:00,103,124
322,2024-09-16T13:30:00,147,93
323,2024-09-16T13:15:00,117,97
324,2024-09-16T13:00:00,67,73
325,2024-09-16T12:45:00,117,137
326,2024-09-16T12:30:00,122,114
327,2024-09-16T12:15:00,97,88
328,2024-09-16T12:00:00,130,135
329,2024-09-16T11:45:00,127,101
330,2024-09-16T11:30:00,138,124
331,2024-09-16T11:15:00,97,132
332,2024-09-16T11:00:00,107,103
333,2024-09-16T10:45:00,74,54
334,2024-09-16T10:30:00,256,244
335,2024-09-16T10:15:00,51,46
336,2024-09-16T10:00:00,42,56
337,2024-09-16T09:45:00,63,62
338,2024-09-16T09:30:00,47,45
339,2024-09-16T09:15:00,38,31
340,2024-09-16T09:00:00,14,41
341,2024-09-16T08:45:00,10,31
342,2024-09-16T08:30:00,23,19
343,2024-09-16T08:15:00,26,23
344,2024-09-16T08:00:00,3,4
345,2024-09-16T07:45:00,6,7
346,2024-09-16T07:30:00,11,9
347,2024-09-16T07:15:00,10,8
348,2024-09-16T07:00:00,7,4
349,2024-09-16T06:45:00,3,2
350,2024-09-16T06:30:00,4,0
351,2024-09-16T05:45:00,0,4
352,2024-09-16T05:00:00,0,1
353,2024-09-16T03:45:00,0,5
354,2024-09-16T02:30:00,0,1
355,2024-09-16T01:30:00,0,9
356,2024-09-16T00:30:00,0,3
357,2024-09-16T00:00:00,0,5
358,2024-09-15T23:30:00,6,5
359,2024-09-15T23:15:00,2,1
360,2024-09-15T23:00:00,2,2
361,2024-09-15T22:45:00,0,2
362,2024-09-15T22:30:00,6,4
363,2024-09-15T22:15:00,15,19
364,2024-09-15T22:00:00,2,2
365,2024-09-15T21:45:00,5,6
366,2024-09-15T21:30:00,8,8
367,2024-09-15T21:15:00,5,4
368,2024-09-15T21:00:00,21,21
369,2024-09-15T20:45:00,13,21
370,2024-09-15T20:30:00,17,13
371,2024-09-15T20:15:00,21,24
372,2024-09-15T20:00:00,25,20
373,2024-09-15T19:45:00,22,18
